CustomerID,P Churn_Avg
7577-SWIFR,0.8820696222
5150-ITWWB,0.880215366
6630-UJZMY,0.8709666718
4927-WWOOZ,0.8690148471
4912-PIGUY,0.8684884017
3489-HHPFY,0.8654042503
8622-ZLFKO,0.862936436
3318-NMQXL,0.8586760172
7439-DKZTW,0.853286751
0187-QSXOE,0.8523836772
2545-EBUPK,0.8476147009
8161-QYMTT,0.8443978286
9603-OAIHC,0.8443783517
1628-BIZYP,0.8427974289
1452-VOQCH,0.8422554462
7398-SKNQZ,0.842070503
0021-IKXGC,0.8405790787
9605-WGJVW,0.8372061767
1393-IMKZG,0.8363222667
7225-CBZPL,0.8345181971
8739-XNIKG,0.8312604185
5542-TBBWB,0.8311000348
3452-GWUIN,0.8309540017
9957-YODKZ,0.8289289525
4813-HQMGZ,0.8287635648
8775-ERLNB,0.8284478682
6357-JJPQT,0.8281600979
3878-AVSOQ,0.8274586196
2789-HQBOU,0.8271937706
4847-TAJYI,0.8258132536
1640-PLFMP,0.8247340489
3462-BJQQA,0.8247055194
6350-XFYGW,0.8231311314
3096-GKWEB,0.8226638088
7668-XCFYV,0.8223178642
4234-XTNEA,0.8218673421
7465-ZZRVX,0.8179361066
4115-NZRKS,0.8152620472
4060-LDNLU,0.8114549318
8087-LGYHQ,0.8114019324
7858-GTZSP,0.8112754008
7994-UYIVZ,0.8110010687
7363-QTBIW,0.8094156149
4395-PZMSN,0.8092168571
4090-KPJIP,0.8078506438
4749-OJKQU,0.8076906864
0722-SVSFK,0.8065846066
3320-VEOYC,0.8042372339
8242-SOQUO,0.8036414901
9919-KNPOO,0.8032823661
4132-KALRO,0.8031898615
6969-MVBAI,0.8015849429
4929-XIHVW,0.8008672831
0168-XZKBB,0.8006589466
1197-BVMVG,0.8005941643
0365-BZUWY,0.799620078
2876-GZYZC,0.7992446567
9094-AZPHK,0.7954934516
2123-AGEEN,0.79450286
2880-FPNAE,0.7941238294
9290-SHCMB,0.7937124371
6229-LSCKB,0.7924501153
1200-TUZHR,0.7923859661
2215-ZAFGX,0.7920507677
2254-DLXRI,0.790526085
4884-ZTHVF,0.7903547688
9799-CAYJJ,0.7902505395
2754-SDJRD,0.7884099852
5935-FCCNB,0.7872856785
2371-JQHZZ,0.7861251093
2081-VEYEH,0.7857048673
2984-AFWNC,0.7856012484
1960-UYCNN,0.7850791461
2262-SLNVK,0.7844901513
3427-GGZZI,0.7837291892
1173-XZPYF,0.7836649675
9334-GWGOW,0.7834908955
5995-SNNEW,0.7832582243
4633-MKHYU,0.7832235532
5382-SOYZL,0.7827982692
6734-GMPVK,0.7824834142
3422-GALYP,0.7823318053
3370-HXOPH,0.7822244168
5429-LWCMV,0.7816257624
8266-VBFQL,0.7809214171
5043-TRZWM,0.7798631564
6986-IXNDM,0.7798481718
6583-KQJLK,0.7780508608
5348-CAGXB,0.7776883728
2688-BHGOG,0.7775551775
2038-OEQZH,0.77733801
0480-BIXDE,0.776098763
8309-IEYJD,0.775973781
8035-PWSEV,0.7759351594
7392-YYPYJ,0.7744883901
7044-YAACC,0.7743011597
9402-ORRAH,0.7734875114
7590-VHVEG,0.7721492054
8714-CTZJW,0.7720879708
4445-ZJNMU,0.771775432
6856-RAURS,0.7704341138
7321-VGNKU,0.7696653749
6198-RTPMF,0.7689596556
5956-YHHRX,0.7678727625
2077-MPJQO,0.7678677714
8132-YPVBX,0.7673494552
3841-CONLJ,0.7661690258
6851-WEFYX,0.7657812424
4482-EWFMI,0.7651042237
9840-EFJQB,0.7639848675
2799-ARNLO,0.7631908392
4566-NECEV,0.7611105473
2985-FMWYF,0.760951833
5760-IFJOZ,0.7604552762
8313-NDOIA,0.7604117355
9360-OMDZZ,0.7603930533
5937-EORGB,0.7595270704
4298-OYIFC,0.7584601299
4853-OITSN,0.757771744
9741-YLNTD,0.7573136768
7394-LWLYN,0.755972027
6407-UTSLV,0.7559347865
9617-INGJY,0.7557138316
1078-TDCRN,0.7550246446
0644-OQMDK,0.7546345349
2135-DQWAQ,0.7540875149
0432-CAJZV,0.7539751514
3420-YJLQT,0.7532528048
7245-NIIWQ,0.753151001
6918-UMQCG,0.7530301918
5928-QLDHB,0.7524085297
3295-YVUSR,0.7520129046
5032-MIYKT,0.7504242808
3411-WLRSQ,0.7483349859
3338-CVVEH,0.7473934304
2235-DWLJU,0.7472630662
3292-PBZEJ,0.7469726051
0225-ZORZP,0.746333519
6077-BDPXA,0.7457907088
4123-DVHPH,0.7454352293
2897-DOVND,0.7449633465
6435-SRWBJ,0.7446923232
9633-XQABV,0.7445761403
5628-FCGYG,0.7444263562
6116-RFVHN,0.7434724244
7354-OIJLX,0.7422497718
2674-MIAHT,0.7421018038
2905-KFQUV,0.7419210395
8875-AKBYH,0.7417775144
1746-TGTWV,0.741629359
5701-YVSVF,0.7415649273
6507-ZJSUR,0.7412901842
7426-RHZGU,0.7407065584
4521-YEEHE,0.7401327949
3317-VLGQT,0.7388440686
2665-NPTGL,0.7388336759
3199-XGZCY,0.7378828059
7402-EYFXX,0.7378445199
0396-YCHWO,0.7376415701
8040-MNRTF,0.7373458305
6705-LXORM,0.7366188943
1219-NNDDO,0.7366031003
3951-NJCVI,0.7364896317
2959-FENLU,0.7364643273
1508-DFXCU,0.7361088926
7517-LDMPS,0.735435165
5216-WASFJ,0.7354086805
0848-ZGQIJ,0.7347946391
9050-IKDZA,0.7343696015
2107-FBPTK,0.7341322079
6215-NQCPY,0.7330086432
7823-JSOAG,0.7326230098
8107-KNCIM,0.7315035595
6496-JDSSB,0.7312466689
4559-UWIHT,0.7309815551
3030-YDNRM,0.7308471607
0928-XUTSN,0.7297625289
5119-NZPTV,0.729247064
0817-HSUSE,0.7286968775
4612-SSVHJ,0.7277632409
4815-GBTCD,0.7270646107
6860-YRJZP,0.7268385318
3496-LFSZU,0.7267002086
5117-IFGPS,0.7263935417
0258-NOKBL,0.726263166
5288-AHOUP,0.7248329913
9208-OLGAQ,0.7236530976
4450-DLLMH,0.7228167604
5399-ZIMKF,0.7223028491
4583-PARNH,0.7217541271
3629-ZNKXA,0.7211998509
6242-MBHPK,0.7210637582
2809-ZMYOQ,0.7210476934
8541-QVFKM,0.7203801042
2800-VEQXM,0.720182297
4059-IIEBK,0.7196548235
9717-QEBGU,0.71956781
6198-ZFIOJ,0.7191570345
0840-DFEZH,0.7174942994
1751-NCDLI,0.7170961265
5989-PGKJB,0.7165145956
8356-WUAOJ,0.7163466726
1028-FFNJK,0.7159875547
5091-HFAZW,0.715856973
4770-UEZOX,0.7147592724
7952-OBOYL,0.7147334295
9121-PHQSR,0.7144287633
3916-NRPAP,0.7140415165
5183-SNMJQ,0.7139376019
4854-CIDCF,0.7137509409
8687-BAFGU,0.7135153458
2504-DSHIH,0.7135131548
4301-VVZKA,0.7129322874
2424-WVHPL,0.709370336
9696-RMYBA,0.7091372928
8873-GLDMH,0.7082858848
0928-JMXNP,0.7078410309
3003-CMDUU,0.7066035989
0420-HLGXF,0.7064438358
8617-ENBDS,0.705356017
6267-DCFFZ,0.7050057882
0674-EYYZV,0.7043075183
5442-BHQNG,0.7042903729
0018-NYROU,0.7038249752
4536-PLEQY,0.7036754717
5652-MSDEY,0.7031046181
1766-GKNMI,0.7029551959
2969-QWUBZ,0.7025460971
7315-WYOAW,0.7013762262
4647-MUZON,0.7004811557
2468-SJFLM,0.7000225817
9093-FPDLG,0.6996269675
1475-VWVDO,0.6985118353
3420-ZDBMA,0.6985096214
1666-JXLKU,0.6970364528
8325-QRPZR,0.6967532424
7422-WNBTY,0.6967054263
4195-NZGTA,0.6966093515
9279-CJEOJ,0.6957563437
1754-GKYPY,0.695051019
7278-CKDNC,0.6938844613
1212-GLHMD,0.6936716639
0674-DGMAQ,0.6926782639
6103-BOCOU,0.6914794067
0793-TWELN,0.6904124389
0147-ESWWR,0.6903978316
3365-SAIGS,0.6898427467
8903-WMRNW,0.6891653538
4716-HHKQH,0.688986397
4983-CCWMC,0.6885536921
9588-OZDMQ,0.6882114515
9822-OAOVB,0.6876223992
2080-GKCWQ,0.687453384
4690-PKDQG,0.6869054177
5233-AOZUF,0.6867633054
6175-IRFIT,0.6865083775
1251-STYSZ,0.6864703753
1932-UEDCX,0.6862677876
2439-LYPMQ,0.6861922746
5692-ICXLW,0.6859724528
3748-FVMZZ,0.6859405237
0196-JTUQI,0.6844838214
0139-IVFJG,0.6838853318
0434-CSFON,0.6838839504
4029-HPFVY,0.6838126136
9773-PEQBZ,0.6836315771
6833-JMZYP,0.6830457798
6030-REHUX,0.6829774524
5119-KEPFY,0.6826362044
0620-DLSLK,0.6824628499
